computer, size, run, open, setup, gpu, save, total
scdfp, 9, 2, 2.46855, 4.81091, 1.16217, 38.6537, 45.9332
scdfp, 9, 3, 2.76523, 4.8117, 1.16208, 39.3954, 46.9723
scdfp, 11, 1, 2.76949, 5.36559, 1.71645, 37.7379, 45.873
scdfp, 11, 2, 2.49054, 5.3597, 1.7168, 37.2497, 45.0999
scdfp, 11, 3, 2.773, 5.34976, 1.7162, 37.1839, 45.3067
scdfp, 13, 1, 2.63771, 6.01503, 2.3775, 38.3791, 47.0318
scdfp, 13, 2, 2.7333, 6.02083, 2.37779, 38.5051, 47.2593
scdfp, 13, 3, 2.76061, 6.02537, 2.37705, 38.6563, 47.4422
scdfp, 15, 1, 2.75747, 6.81171, 3.14902, 40.3571, 49.9263
scdfp, 15, 2, 2.72936, 6.84988, 3.15028, 40.2468, 49.826
scdfp, 15, 3, 2.72921, 6.78598, 3.14944, 40.2173, 49.7325
scdfp, 17, 1, 2.7768, 7.66592, 4.02363, 41.5075, 51.9502
scdfp, 17, 2, 2.7156, 7.67742, 4.02355, 41.1601, 51.5532
scdfp, 17, 3, 2.76454, 7.67122, 4.02486, 40.7415, 51.1772
scdfp, 19, 1, 2.51877, 8.66336, 5.01308, 40.956, 52.1382
scdfp, 19, 2, 2.77061, 8.69668, 5.00978, 41.0071, 52.4744
scdfp, 19, 3, 2.77049, 8.65246, 5.012, 40.9215, 52.3445
scdfp, 21, 1, 2.7644, 9.76007, 6.10885, 40.9552, 53.4796
scdfp, 21, 2, 2.76277, 9.75209, 6.11176, 40.9207, 53.4356
scdfp, 21, 3, 2.74802, 9.74167, 6.10697, 47.8227, 60.3124
